text_title,start_file,f_jg,f_nr,start_page_value,start_page,year,month,day,end_file,end_page,date,node_count,title_id,par_id
(Vorwort des Herausgebers.),FK-01-001_n0001.xml,01,001,n0001,1,1899,04,01,1899-04-01,FK-01-001_n0003.xml,3,1484,text__tid_00001.xml,pr33
DIE UNABHÄNGIGEN.,FK-01-001_n0004.xml,01,001,n0004,4,1899,04,01,1899-04-01,FK-01-001_n0008.xml,8,2757,text__tid_00002.xml,pr41
(Kein Zeitungsstempel.),FK-01-001_n0008.xml,01,001,n0008,8,1899,04,01,1899-04-01,FK-01-001_n0008.xml,8,439,text__tid_00003.xml,pr53
(Absolutismus und Theater.),FK-01-001_n0008.xml,01,001,n0008,8,1899,04,01,1899-04-01,FK-01-001_n0009.xml,9,965,text__tid_00004.xml,pr56
(Das Wahlrecht der Minister.),FK-01-001_n0009.xml,01,001,n0009,9,1899,04,01,1899-04-01,FK-01-001_n0010.xml,10,1143,text__tid_00005.xml,pr59
(Finanzielles aus dem Polenclub.),FK-01-001_n0010.xml,01,001,n0010,10,1899,04,01,1899-04-01,FK-01-001_n0011.xml,11,355,text__tid_00006.xml,pr62
(Die Geschwornen und die Parteipresse.),FK-01-001_n0011.xml,01,001,n0011,11,1899,04,01,1899-04-01,FK-01-001_n0012.xml,12,933,text__tid_00007.xml,pr65
(Gedanken über Minister.),FK-01-001_n0012.xml,01,001,n0012,12,1899,04,01,1899-04-01,FK-01-001_n0012.xml,12,200,text__tid_00008.xml,pr69
DIE VERTREIBUNG AUS DEM PARADIESE.,FK-01-001_n0012.xml,01,001,n0012,12,1899,04,01,1899-04-01,FK-01-001_n0021.xml,21,5918,text__tid_00009.xml,pr76
Die Einacter.,FK-01-001_n0024.xml,01,001,n0024,24,1899,04,01,1899-04-01,FK-01-001_n0027.xml,27,2911,text__tid_00010.xml,pr100
Die Kenner. — Tina Blau. — Herr Klimt und das revolutionierte  Kunstempfinden des Herrn von Dumba. (Zum Thema: Kunstkritik.),FK-01-001_n0027.xml,01,001,n0027,27,1899,04,01,1899-04-01,FK-01-001_n0028.xml,28,1308,text__tid_00011.xml,pr110
(Ein Brief Maximilian Hardens an den Herausgeber.),FK-01-002_n0001.xml,01,002,n0001,1,1899,04,01,1899-04-01,FK-01-002_n0006.xml,6,3060,text__tid_00012.xml,pr234
(Antwortschreiben des Herausgebers.),FK-01-002_n0006.xml,01,002,n0006,6,1899,04,01,1899-04-01,FK-01-002_n0018.xml,18,8399,text__tid_00013.xml,pr243
(Die Helden des Communiqués.),FK-01-002_n0018.xml,01,002,n0018,18,1899,04,01,1899-04-01,FK-01-002_n0021.xml,21,1963,text__tid_00014.xml,pr268
(Graf Kielmansegg und die Sprachenfrage.),FK-01-002_n0021.xml,01,002,n0021,21,1899,04,01,1899-04-01,FK-01-002_n0022.xml,22,1381,text__tid_00015.xml,pr274
(Graf Grünne.),FK-01-002_n0023.xml,01,002,n0023,23,1899,04,01,1899-04-01,FK-01-002_n0024.xml,24,1031,text__tid_00016.xml,pr278
(Vom Amtsstil.),FK-01-002_n0024.xml,01,002,n0024,24,1899,04,01,1899-04-01,FK-01-002_n0024.xml,24,446,text__tid_00017.xml,pr281
(Die Bilanz des Patriotismus.),FK-01-002_n0024.xml,01,002,n0024,24,1899,04,01,1899-04-01,FK-01-002_n0026.xml,26,1445,text__tid_00018.xml,pr286
(Perosi.),FK-01-002_n0026.xml,01,002,n0026,26,1899,04,01,1899-04-01,FK-01-002_n0028.xml,28,847,text__tid_00019.xml,pr292
(Französische Possen),FK-01-002_n0028.xml,01,002,n0028,28,1899,04,01,1899-04-01,FK-01-002_n0029.xml,29,1542,text__tid_00020.xml,pr298
(Der Bauernfeld-Preis.),FK-01-002_n0029.xml,01,002,n0029,29,1899,04,01,1899-04-01,FK-01-002_n0030.xml,30,501,text__tid_00021.xml,pr303
(Bahrs Register.),FK-01-002_n0030.xml,01,002,n0030,30,1899,04,01,1899-04-01,FK-01-002_n0030.xml,30,1024,text__tid_00022.xml,pr306
(Die Theaterrubrik der ‚N. Fr. Pr.‘.),FK-01-002_n0031.xml,01,002,n0031,31,1899,04,01,1899-04-01,FK-01-002_n0031.xml,31,1051,text__tid_00023.xml,pr309
»Ein Unabhängiger« (oder »Unabhängige«?),FK-01-002_n0032.xml,01,002,n0032,32,1899,04,01,1899-04-01,FK-01-002_n0032.xml,32,354,text__tid_00025.xml,pr315
Herrn R. T.,FK-01-002_n0032.xml,01,002,n0032,32,1899,04,01,1899-04-01,FK-01-002_n0032.xml,32,130,text__tid_00026.xml,pr318
R. K.,FK-01-002_n0032.xml,01,002,n0032,32,1899,04,01,1899-04-01,FK-01-002_n0032.xml,32,270,text__tid_00027.xml,pr321
"Den zahlreichen Anonymen,",FK-01-002_n0032.xml,01,002,n0032,32,1899,04,01,1899-04-01,FK-01-002_n0032.xml,32,31,text__tid_00028.xml,pr324
U. A.,FK-01-003_n0001.xml,01,003,n0001,1,1899,04,01,1899-04-01,FK-01-003_n0010.xml,10,6887,text__tid_00029.xml,pr429
(Los von Rom.),FK-01-003_n0011.xml,01,003,n0011,11,1899,04,01,1899-04-01,FK-01-003_n0012.xml,12,1033,text__tid_00030.xml,pr448
(Die Cavaliersparole des Grafen Thun.),FK-01-003_n0012.xml,01,003,n0012,12,1899,04,01,1899-04-01,FK-01-003_n0013.xml,13,878,text__tid_00031.xml,pr454
(Ein neuer Name für Österreich.),FK-01-003_n0013.xml,01,003,n0013,13,1899,04,01,1899-04-01,FK-01-003_n0014.xml,14,329,text__tid_00032.xml,pr460
(Actienreform.),FK-01-003_n0014.xml,01,003,n0014,14,1899,04,01,1899-04-01,FK-01-003_n0017.xml,17,1943,text__tid_00033.xml,pr465
(Acht Sensale.),FK-01-003_n0017.xml,01,003,n0017,17,1899,04,01,1899-04-01,FK-01-003_n0019.xml,19,1976,text__tid_00034.xml,pr473
(Los von Galizien!),FK-01-003_n0019.xml,01,003,n0019,19,1899,04,01,1899-04-01,FK-01-003_n0021.xml,21,1350,text__tid_00035.xml,pr482
CONCORDIABALLBERICHT.,FK-01-003_n0021.xml,01,003,n0021,21,1899,04,01,1899-04-01,FK-01-003_n0025.xml,25,2987,text__tid_00036.xml,pr494
(Der Romancier Dessauer.),FK-01-003_n0025.xml,01,003,n0025,25,1899,04,01,1899-04-01,FK-01-003_n0027.xml,27,1029,text__tid_00037.xml,pr504
(Theater.),FK-01-003_n0027.xml,01,003,n0027,27,1899,04,01,1899-04-01,FK-01-003_n0028.xml,28,1005,text__tid_00038.xml,pr509
(Noch einmal Perosi.),FK-01-003_n0028.xml,01,003,n0028,28,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,466,text__tid_00039.xml,pr517
Niemand.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,203,text__tid_00041.xml,pr523
Technikus.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,54,text__tid_00042.xml,pr526
Ing. J. W.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,37,text__tid_00043.xml,pr529
Schauspieler.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,25,text__tid_00044.xml,pr532
S. M.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,45,text__tid_00045.xml,pr535
R. B.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,57,text__tid_00046.xml,pr538
A. R.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,20,text__tid_00047.xml,pr541
Zionist.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,58,text__tid_00048.xml,pr544
M. H.,FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,68,text__tid_00049.xml,pr547
"Allen Anonymen,",FK-01-003_n0029.xml,01,003,n0029,29,1899,04,01,1899-04-01,FK-01-003_n0029.xml,29,29,text__tid_00050.xml,pr550
UNIVERSITÄTSBUMMEL.,FK-01-004_n0001.xml,01,004,n0001,1,1899,05,01,1899-05-01,FK-01-004_n0010.xml,10,6429,text__tid_00051.xml,pr686
(»Der Economist.«),FK-01-004_n0010.xml,01,004,n0010,10,1899,05,01,1899-05-01,FK-01-004_n0012.xml,12,1388,text__tid_00052.xml,pr741
(Schwachsinn auf offener Scene.),FK-01-004_n0016.xml,01,004,n0016,16,1899,05,01,1899-05-01,FK-01-004_n0016.xml,16,425,text__tid_00053.xml,pr758
Concordiabankettbericht.,FK-01-004_n0020.xml,01,004,n0020,20,1899,05,01,1899-05-01,FK-01-004_n0021.xml,21,1502,text__tid_00054.xml,pr775
(Personalnachrichten.),FK-01-004_n0021.xml,01,004,n0021,21,1899,05,01,1899-05-01,FK-01-004_n0021.xml,21,152,text__tid_00055.xml,pr783
Jourbesuch.,FK-01-004_n0022.xml,01,004,n0022,22,1899,05,01,1899-05-01,FK-01-004_n0023.xml,23,905,text__tid_00056.xml,pr788
(Die allgemeinen österreichischen Frauen.),FK-01-004_n0023.xml,01,004,n0023,23,1899,05,01,1899-05-01,FK-01-004_n0025.xml,25,1628,text__tid_00057.xml,pr793
Frl. Niemand.,FK-01-004_n0026.xml,01,004,n0026,26,1899,05,01,1899-05-01,FK-01-004_n0026.xml,26,924,text__tid_00059.xml,pr814
N.,FK-01-004_n0026.xml,01,004,n0026,26,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,542,text__tid_00060.xml,pr817
Cordelia.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,24,text__tid_00061.xml,pr820
Robert.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,197,text__tid_00062.xml,pr823
L. Relieff.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,58,text__tid_00063.xml,pr826
Ein mir Geneigter.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,26,text__tid_00064.xml,pr829
A. J. G.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,24,text__tid_00065.xml,pr832
R. B.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,19,text__tid_00066.xml,pr835
Ignorant.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,163,text__tid_00067.xml,pr838
Austro-Americanus II.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,75,text__tid_00069.xml,pr841_a
M. R.,FK-01-004_n0027.xml,01,004,n0027,27,1899,05,01,1899-05-01,FK-01-004_n0027.xml,27,113,text__tid_00070.xml,pr844
J. L. Bielitz.,FK-01-004_n0028.xml,01,004,n0028,28,1899,05,01,1899-05-01,FK-01-004_n0028.xml,28,32,text__tid_00071.xml,pr847
Alpha.,FK-01-004_n0028.xml,01,004,n0028,28,1899,05,01,1899-05-01,FK-01-004_n0028.xml,28,128,text__tid_00072.xml,pr850
"T., Prag.",FK-01-004_n0028.xml,01,004,n0028,28,1899,05,01,1899-05-01,FK-01-004_n0028.xml,28,98,text__tid_00073.xml,pr853
Alle Verfasser anonymer Briefe,FK-01-004_n0028.xml,01,004,n0028,28,1899,05,01,1899-05-01,FK-01-004_n0028.xml,28,55,text__tid_00074.xml,pr856
(Zum Überfall auf den Herausgeber.),FK-01-005_n0001.xml,01,005,n0001,1,1899,05,01,1899-05-01,FK-01-005_n0003.xml,3,1324,text__tid_00075.xml,pr969
ICH UND DIE »NEUE FREIE PRESSE«.,FK-01-005_n0003.xml,01,005,n0003,3,1899,05,01,1899-05-01,FK-01-005_n0011.xml,11,5903,text__tid_00076.xml,pr976
(Trost für den Papst.),FK-01-005_n0011.xml,01,005,n0011,11,1899,05,01,1899-05-01,FK-01-005_n0015.xml,15,2535,text__tid_00077.xml,pr997
(Die liberalen Brückenreste.),FK-01-005_n0015.xml,01,005,n0015,15,1899,05,01,1899-05-01,FK-01-005_n0016.xml,16,865,text__tid_00078.xml,pr1008
(Kielmansegg.),FK-01-005_n0016.xml,01,005,n0016,16,1899,05,01,1899-05-01,FK-01-005_n0016.xml,16,134,text__tid_00079.xml,pr1011
(Eine neue Gemeinbürgschaft.),FK-01-005_n0017.xml,01,005,n0017,17,1899,05,01,1899-05-01,FK-01-005_n0018.xml,18,1097,text__tid_00080.xml,pr1015
Warnung.,FK-01-005_n0018.xml,01,005,n0018,18,1899,05,01,1899-05-01,FK-01-005_n0019.xml,19,441,text__tid_00081.xml,pr1021
(Herr Kick.),FK-01-005_n0019.xml,01,005,n0019,19,1899,05,01,1899-05-01,FK-01-005_n0019.xml,19,82,text__tid_00082.xml,pr1025
UNIVERSITÄTSBUMMEL.,FK-01-005_n0019.xml,01,005,n0019,19,1899,05,01,1899-05-01,FK-01-005_n0020.xml,20,872,text__tid_00083.xml,pr1029
(Der Familiensinn der ‚N. Fr. Pr.‘.),FK-01-005_n0021.xml,01,005,n0021,21,1899,05,01,1899-05-01,FK-01-005_n0022.xml,22,838,text__tid_00084.xml,pr1039
(Lapidares aus der ‚N. Fr. Pr.‘.),FK-01-005_n0022.xml,01,005,n0022,22,1899,05,01,1899-05-01,FK-01-005_n0022.xml,22,191,text__tid_00085.xml,pr1043
(Personalnachrichten.),FK-01-005_n0022.xml,01,005,n0022,22,1899,05,01,1899-05-01,FK-01-005_n0022.xml,22,173,text__tid_00086.xml,pr1046
Frl. Niemand.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,27,text__tid_00088.xml,pr1052
Nur ein M.,FK-01-005_n0023.xml,01,005,n0023,23,1899,05,01,1899-05-01,FK-01-005_n0023.xml,23,97,text__tid_00089.xml,pr1055
